V4	Fisher_dis2_T316A_r2_pr_counts	Fisher_dis2_T316A_r2gb_counts	Fisher_dis2_T316A_r2term_counts	Fisher_dis2_T316A_r2pr_map	Fisher_dis2_T316A_r2gb_map	Fisher_dis2_T316A_r2term_map	Fisher_dis2_T316A_r2pr_density	Fisher_dis2_T316A_r2pr_densityRPKM	Fisher_dis2_T316A_r2gb_density	Fisher_dis2_T316A_r2gb_densityRPKM	Fisher_dis2_T316A_r2pause_index_CI_low	Fisher_dis2_T316A_r2pause_index_CI_high	Fisher_dis2_T316A_r2pause_index_scaled	Fisher_dis2_T316A_r2pause_index_CI_low_scaled	Fisher_dis2_T316A_r2pause_index_CI_high_scaled	Fisher_dis2_T316A_r2_ExpPR	Fisher_dis2_T316A_r2_ExpGB	Fisher_dis2_T316A_r2Fexact_Pval
SPNCRNA.1035	1	0	2	100	42	300	0.01	12.4127230411171	0	0	0.0577765545925511	8.27870929775896	NA	0.0242661529288715	3.47705790505876	0	101	1
SPNCRNA.1036	0	3	3	100	1317	300	0	0	0.00227790432801822	2.82749955378523	0.0327971598819604	2.22593021867193	0	0.431938595645418	29.3155009799094	0	100	1
SPNCRNA.1037	1	94	1	100	2370	300	0.01	12.4127230411171	0.039662447257384	49.2318972938823	0.000550022635457497	0.0701615416299683	0.252127659574468	0.0130355364603427	1.66282853663025	3	98	1
SPNCRNA.1038	5	65	150	100	464	300	0.05	62.0636152055857	0.140086206896552	173.885128808753	0.0273209956157447	0.198558815139882	0.356923076923077	0.126769419657055	0.921312902249053	12	93	1
SPNCRNA.1039	0	7	6	100	1078	300	0	0	0.00649350649350649	8.06020976695919	0.0134151780994594	0.782741335671289	0	0.144615619912173	8.43795159853649	0	100	1
SPNCRNA.1040	3	1	0	100	637	300	0.03	37.2381691233514	0.00156985871271586	1.94862214146266	0.281109371130232	74.8083338953006	19.11	1.79066669409958	476.529086913065	0	103	1
SPNCRNA.1041	0	6	1	100	2952	300	0	0	0.00203252032520325	2.52291118721893	0.0157393406208896	0.93492067967121	0	0.46462533512866	27.5988584638941	0	100	1
SPNCRNA.1042	1	124	3	100	1492	300	0.01	12.4127230411171	0.0831099195710456	103.162041360491	0.000417917262807862	0.0529903310105278	0.120322580645161	0.0062353255610933	0.790615738677074	7	94	1
SPNCRNA.1043	0	0	0	100	836	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.1044	0	39	5	100	3092	300	0	0	0.0126131953428202	15.6564100453936	0.00234390037330292	0.125706278271577	0	0.0724733995425264	3.88683812415716	1	99	1
SPNCRNA.1045	1	12	1	100	1214	300	0.01	12.4127230411171	0.00988467874794069	12.2695779648604	0.0040448521341888	0.610617545978525	1.01166666666667	0.049104504909052	7.41289700817929	0	101	1
SPNCRNA.1046	0	3	7	100	705	300	0	0	0.00425531914893617	5.2820098047307	0.0327971598819604	2.22593021867193	0	0.231219977167821	15.6928080416371	0	100	1
SPNCRNA.1047	1	7	2	100	1220	300	0.01	12.4127230411171	0.00573770491803279	7.12205420391967	0.00660323359662749	1.14229470290644	1.74285714285714	0.0805594498788554	13.9359953754585	0	101	1
SPNCRNA.1048	1	5	12	100	426	300	0.01	12.4127230411171	0.0117370892018779	14.5689237571797	0.00883974757390515	1.74105855180368	0.852	0.0376573246648359	7.41690943068368	1	100	1
SPNCRNA.1049	3	32	0	100	2408	300	0.03	37.2381691233514	0.0132890365448505	16.4953130114514	0.0229150017431142	0.319025295705829	2.2575	0.55179324197419	7.68212912059635	1	102	1
SPNCRNA.1050	1	70	9	100	1305	300	0.01	12.4127230411171	0.053639846743295	66.5816561592491	0.000736193769851976	0.0947130282636387	0.186428571428571	0.00960732869656829	1.23600501884049	5	96	1
SPNCRNA.1051	1	8	0	100	2005	300	0.01	12.4127230411171	0.00399002493765586	4.95270744782729	0.00586171689225921	0.973546520057376	2.50625	0.117527423689797	19.5196077271504	0	101	1
SPNCRNA.1052	0	2	10	100	1043	300	0	0	0.00191754554170662	2.38019617279332	0.0514242900386907	4.05388820080272	0	0.536355345103545	42.2820539343724	0	100	1
SPNCRNA.1053	11	6	18	100	948	300	0.11	136.539953452289	0.00632911392405063	7.85615382349186	0.6292059467659	5.55340808984266	17.38	5.96487237534074	52.6463086917084	0	111	0.000470129392452584
SPNCRNA.1054	0	2	3	100	620	300	0	0	0.0032258064516129	4.00410420681198	0.0514242900386907	4.05388820080272	0	0.318830598239883	25.1341068449769	0	100	1
SPNCRNA.1055	114	109	3	100	1406	300	1.14	1415.05042668735	0.077524893314367	96.2295029503392	0.797787088190497	1.37117610069492	14.7049541284404	11.2168864599584	19.2787359757706	15	199	2.85997612721782e-52
