V4	Fisher_dis2_11_r2_pr_counts	Fisher_dis2_11_r2gb_counts	Fisher_dis2_11_r2term_counts	Fisher_dis2_11_r2pr_map	Fisher_dis2_11_r2gb_map	Fisher_dis2_11_r2term_map	Fisher_dis2_11_r2pr_density	Fisher_dis2_11_r2pr_densityRPKM	Fisher_dis2_11_r2gb_density	Fisher_dis2_11_r2gb_densityRPKM	Fisher_dis2_11_r2pause_index_CI_low	Fisher_dis2_11_r2pause_index_CI_high	Fisher_dis2_11_r2pause_index_scaled	Fisher_dis2_11_r2pause_index_CI_low_scaled	Fisher_dis2_11_r2pause_index_CI_high_scaled	Fisher_dis2_11_r2_ExpPR	Fisher_dis2_11_r2_ExpGB	Fisher_dis2_11_r2Fexact_Pval
SPNCRNA.1234	0	28	0	100	2393	300	0	0	0.0117007939824488	18.8030410367788	0.00327211992868732	0.176722244865318	0	0.0783018298934876	4.22896331962706	1	99	1
SPNCRNA.1235	0	52	0	100	4160	300	0	0	0.0125	20.0873558933088	0.00175540185204023	0.0937274199558428	0	0.0730247170448735	3.89906067016306	1	99	1
SPNCRNA.1236	42	53	32	100	426	300	0.42	674.935158015176	0.124413145539906	199.93049058129	0.518567401182915	1.20974216079496	3.37584905660377	2.20909712903922	5.15350160498652	15	127	0.00234474300698897
SPNCRNA.1237	0	2	3	100	820	300	0	0	0.0024390243902439	3.91948407674318	0.0514242900386907	4.05388820080272	0	0.421679178317264	33.2418832465823	0	100	1
SPNCRNA.1238	0	18	0	100	1798	300	0	0	0.0100111234705228	16.0877600035399	0.00511285240857114	0.280011224227739	0	0.091929086306109	5.03460181161474	0	100	1
SPNCRNA.1239	0	1	7	100	1082	300	0	0	0.000924214417744917	1.48520191447755	0.120791776113059	17.3080587281839	0	1.3069670175433	187.27319543895	0	100	1
SPNCRNA.124	0	0	1	100	150	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.1240	0	0	0	100	86	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.1241	0	2	0	35	544	300	0	0	0.00367647058823529	5.90804585097318	0.0514242900386907	4.05388820080272	0	0.799280393744222	63.0090051781909	0	35	1
SPNCRNA.1242	1	4	0	100	291	300	0.01	16.0698847146471	0.013745704467354	22.0891886111987	0.0106420142837121	2.34682041637603	0.7275	0.0309682615656022	6.82924741165424	1	100	1
SPNCRNA.1243	0	3	0	100	1890	300	0	0	0.00158730158730159	2.55077535153128	0.0327971598819604	2.22593021867193	0	0.619866321769051	42.0700811328996	0	100	1
SPNCRNA.1244	0	4	4	100	847	300	0	0	0.00472255017709563	7.58908369050628	0.0240893601812892	1.52670069174082	0	0.20403688073552	12.9311548590447	0	100	1
SPNCRNA.1245	0	1	4	100	1152	300	0	0	0.000868055555555556	1.39495527036867	0.120791776113059	17.3080587281839	0	1.39152126082244	199.388836548679	0	100	1
SPNCRNA.1246	0	7	9	100	1130	300	0	0	0.00619469026548673	9.9547958409318	0.0134151780994594	0.782741335671289	0	0.151591512523892	8.84497709308556	0	100	1
SPNCRNA.1247	0	1	0	100	339	300	0	0	0.00294985250737463	4.74037897187229	0.120791776113059	17.3080587281839	0	0.40948412102327	58.6743190885435	0	100	1
SPNCRNA.1248	0	1	5	100	552	300	0	0	0.00181159420289855	2.91121099903026	0.120791776113059	17.3080587281839	0	0.666770604144085	95.5404841795753	0	100	1
SPNCRNA.1249	1	1	3	100	542	300	0.01	16.0698847146471	0.0018450184501845	2.96492337908617	0.027408528703162	36.4849938072245	5.42	0.148554225571138	197.748666435157	0	101	1
SPNCRNA.1250	2	31	0	100	1592	300	0.02	32.1397694292941	0.0194723618090452	31.2918609393253	0.0106801732844829	0.275851694734321	1.02709677419355	0.170028358688967	4.39155898017038	1	101	1
SPNCRNA.1251	0	1	13	100	605	300	0	0	0.00165289256198347	2.6561792916772	0.120791776113059	17.3080587281839	0	0.730790245484006	104.713755305513	0	100	1
SPNCRNA.1252	0	26	0	100	3094	300	0	0	0.00840336134453781	13.5041048022244	0.00352600391483322	0.190799932857011	0	0.10909456112494	5.90334992259592	0	100	1
SPNCRNA.1253	9	33	1	100	1559	300	0.09	144.628962431824	0.0211674150096216	34.0157918911708	0.121543050194876	0.593366081697302	4.25181818181818	1.89485615253811	9.25057721366094	2	107	1
SPNCRNA.1255	0	0	0	100	228	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.1256	0	0	0	100	833	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.1257	1	8	1	100	1551	237	0.01	16.0698847146471	0.00515796260477112	8.28878644211325	0.00586171689225921	0.973546520057376	1.93875	0.0909152289989404	15.0997065260899	0	101	1
SPNCRNA.1258	6	40	0	100	627	137	0.06	96.4193082878823	0.0637958532695375	102.519200731401	0.0572607396220736	0.368980967692193	0.9405	0.359024837430401	2.31351066743005	6	100	1
SPNCRNA.1259	0	3	34	100	640	300	0	0	0.0046875	7.53275845999081	0.0327971598819604	2.22593021867193	0	0.209901823244546	14.2459533995004	0	100	1
SPNCRNA.1260	0	0	31	100	703	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.1261	0	6	93	100	705	300	0	0	0.00851063829787234	13.6764976294869	0.0157393406208896	0.93492067967121	0	0.110962351377271	6.59119079168203	0	100	1
SPNCRNA.1262	0	1	0	100	519	300	0	0	0.00192678227360308	3.09631690070271	0.120791776113059	17.3080587281839	0	0.626909318026776	89.8288247992746	0	100	1
SPNCRNA.1263	0	200	4	100	5085	300	0	0	0.0393313667649951	63.2050529582972	0.000454957086890741	0.0240550990817154	0	0.0231345678683942	1.22320178830523	3	97	1
SPNCRNA.1264	0	33	6	100	1437	300	0	0	0.022964509394572	36.9037018499202	0.0027729657495468	0.149200036234492	0	0.0398475178209875	2.14400452068965	2	98	1
SPNCRNA.1265	0	0	0	100	444	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.1266	1	0	1	100	432	300	0.01	16.0698847146471	0	0	0.0577765545925511	8.27870929775896	NA	0.249594715839821	35.7640241663187	0	101	1
SPNCRNA.1267	0	0	1	100	502	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.1268	6	5	3	100	604	300	0.06	96.4193082878823	0.00827814569536424	13.3028846975555	0.325595132616408	4.51332755016755	7.248	1.9665946010031	27.260498403012	0	106	1
SPNCRNA.1269	0	38	1	100	1570	300	0	0	0.024203821656051	38.8952623666617	0.00240594623539958	0.129094305004205	0	0.0377733558957734	2.02678058856601	2	98	1
SPNCRNA.1270	0	0	0	100	366	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.1271	0	2	1	100	1291	300	0	0	0.00154918667699458	2.489525130077	0.0514242900386907	4.05388820080272	0	0.663887584399498	52.3356966723632	0	100	1
SPNCRNA.1272	0	0	0	100	320	163	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.1273	0	4	1	100	1607	300	0	0	0.00248911014312383	3.99997130420586	0.0240893601812892	1.52670069174082	0	0.387116018113318	24.534080116275	0	100	1
SPNCRNA.1275	0	4	3	100	1068	300	0	0	0.00374531835205993	6.01868341372549	0.0240893601812892	1.52670069174082	0	0.257274366736169	16.3051633877919	0	100	1
SPNCRNA.1276	1	18	0	100	2077	300	0.01	16.0698847146471	0.00866634569090034	13.9267176150047	0.00276112751307903	0.390963955466763	1.15388888888889	0.0573486184466514	8.12032135504468	0	101	1
SPNCRNA.1277	0	6	0	100	1402	300	0	0	0.00427960057061341	6.87726877944953	0.0157393406208896	0.93492067967121	0	0.220665555504872	13.1075879289904	0	100	1
SPNCRNA.1278	0	1	5	100	1975	300	0	0	0.000506329113924051	0.813665048842889	0.120791776113059	17.3080587281839	0	2.38563757823291	341.834159881633	0	100	1
SPNCRNA.1279	9	33	4	100	3455	300	0.09	144.628962431824	0.00955137481910275	15.3489492209364	0.121543050194876	0.593366081697302	9.42272727272727	4.19931238423295	20.5007981226418	1	108	0.0197075197792615
SPNCRNA.128	6	111	71	100	459	300	0.06	96.4193082878823	0.241830065359477	388.618127086236	0.0214683539584587	0.127267996745067	0.248108108108108	0.0985397446693254	0.584160105059856	20	86	1
SPNCRNA.1280	2	16	3	100	2415	300	0.02	32.1397694292941	0.00662525879917184	10.6467145107393	0.0198698862921535	0.564288735510909	3.01875	0.479857753955507	13.6275729625885	0	102	1
SPNCRNA.1281	3	17	11	100	808	300	0.03	48.2096541439412	0.021039603960396	33.8104010085396	0.041196253876563	0.635657655765951	1.42588235294118	0.332865731322629	5.13611385858889	2	101	1
SPNCRNA.1282	0	1	4	100	472	300	0	0	0.00211864406779661	3.40463659208624	0.120791776113059	17.3080587281839	0	0.570137183253638	81.6940371970282	0	100	1
SPNCRNA.1283	0	3	2	100	1109	300	0	0	0.00270513976555455	4.34712841694691	0.0327971598819604	2.22593021867193	0	0.363720503090941	24.6855661250718	0	100	1
SPNCRNA.1284	0	2	0	100	262	300	0	0	0.00763358778625954	12.2670875684329	0.0514242900386907	4.05388820080272	0	0.13473163990137	10.6211870861031	0	100	1
SPNCRNA.1285	0	36	0	100	2934	300	0	0	0.0122699386503067	19.7176499566222	0.00254044356681343	0.136449384104687	0	0.0745366142503059	4.00342492963153	1	99	1
SPNCRNA.1286	0	17	0	100	2655	300	0	0	0.0064030131826742	10.289568367194	0.00541762860743838	0.297388981119444	0	0.143838039527489	7.89567744872123	0	100	1
SPNCRNA.1287	4	4	5	100	599	300	0.04	64.2795388585882	0.00667779632721202	10.7311417126191	0.211385029561017	4.73070397689326	5.99	1.26619632707049	28.3369168215906	0	104	1
SPNCRNA.1288	0	0	0	100	801	0	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.1289	0	2	3	100	1218	300	0	0	0.00164203612479475	2.63873312227374	0.0514242900386907	4.05388820080272	0	0.626347852671253	49.3763582857772	0	100	1
SPNCRNA.1290	0	6	22	100	575	300	0	0	0.0104347826086957	16.7685753544143	0.0157393406208896	0.93492067967121	0	0.0905012085701151	5.37579390810946	1	99	1
SPNCRNA.1292	0	4	4	100	1066	300	0	0	0.00375234521575985	6.02997550268182	0.0240893601812892	1.52670069174082	0	0.256792579532543	16.2746293739571	0	100	1
SPNCRNA.1293	0	6	5	100	768	300	0	0	0.0078125	12.554597433318	0.0157393406208896	0.93492067967121	0	0.120878135968432	7.18019081987489	0	100	1
SPNCRNA.1294	8	3	1	100	1558	300	0.08	128.559077717176	0.00192554557124519	3.09432953427094	0.647897384126659	12.6469102766747	41.5466666666667	10.0942412446933	197.038862110591	0	108	0.000221069927843662
SPNCRNA.1296	0	10	1	100	574	300	0	0	0.0174216027874564	27.9963148338799	0.00929728784483565	0.525639636497703	0	0.0533664322293566	3.01717151349682	1	99	1
SPNCRNA.1297	6	18	3	100	907	300	0.06	96.4193082878823	0.019845644983462	31.8917226972047	0.118575044140478	0.88865760334922	3.02333333333333	1.07547565035414	8.06012446237743	2	104	1
SPNCRNA.1298	0	1	1	20	401	287	0	0	0.00249376558603491	4.00745254729353	0.120791776113059	17.3080587281839	0	2.42187511106683	347.026577500088	0	20	1
SPNCRNA.13	0	0	0	100	224	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.130	1	42	6	100	800	300	0.01	16.0698847146471	0.0525	84.366894751897	0.00121663271361786	0.160036851469115	0.19047619047619	0.00973306170894286	1.28029481175292	5	96	1
SPNCRNA.1300	0	0	0	0	35	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPNCRNA.1301	0	2	1	100	1883	300	0	0	0.00106213489113117	1.70683852518822	0.0514242900386907	4.05388820080272	0	0.968319381428547	76.3347148211153	0	100	1
SPNCRNA.1302	1	6	4	100	998	300	0.01	16.0698847146471	0.00601202404809619	9.66125333545915	0.00755953402951306	1.38050834161111	1.66333333333333	0.0754441496145404	13.7774732492788	0	101	1
SPNCRNA.1303	0	1	0	100	507	300	0	0	0.0019723865877712	3.16960250781993	0.120791776113059	17.3080587281839	0	0.612414304893209	87.7518577518925	0	100	1
SPNCRNA.1304	0	0	0	100	684	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.1305	0	3	2	100	1524	300	0	0	0.00196850393700787	3.16336313280454	0.0327971598819604	2.22593021867193	0	0.499828716601076	33.9231765325603	0	100	1
SPNCRNA.1307	2	7	1	100	1475	300	0.02	32.1397694292941	0.00474576271186441	7.62638596627318	0.0410868912536841	1.48812327873763	4.21428571428571	0.606031645991841	21.9498183613801	0	102	1
SPNCRNA.1308	0	7	7	100	1173	300	0	0	0.00596760443307758	9.58987152621734	0.0134151780994594	0.782741335671289	0	0.157360039106659	9.18155586742422	0	100	1
SPNCRNA.1309	0	17	2	100	1047	300	0	0	0.0162368672397326	26.0924584669532	0.00541762860743838	0.297388981119444	0	0.0567225715198799	3.11366263232057	1	99	1
SPNCRNA.131	1	9	13	100	348	300	0.01	16.0698847146471	0.0258620689655172	41.5600466758114	0.00526992812214453	0.847902870266008	0.386666666666667	0.018339349865063	2.95070198852571	2	99	1
SPNCRNA.1310	0	0	1	100	159	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.1311	0	8	1	100	998	300	0	0	0.00801603206412826	12.8816711139455	0.0116892782926356	0.673070909790981	0	0.116658997360503	6.71724767971399	0	100	1
SPNCRNA.1312	0	13	2	100	2421	300	0	0	0.0053696819496076	8.62901698845154	0.00711390234765344	0.395564521747562	0	0.17222757583669	9.57661707150848	0	100	1
SPNCRNA.1313	0	0	0	100	988	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.1314	0	2	1	100	708	300	0	0	0.00282485875706215	4.53951545611499	0.0514242900386907	4.05388820080272	0	0.364083973473931	28.7015284616833	0	100	1
SPNCRNA.1315	0	1	0	100	695	300	0	0	0.00143884892086331	2.31221362800677	0.120791776113059	17.3080587281839	0	0.839502843985759	120.291008160878	0	100	1
SPNCRNA.1316	0	75	2	100	2906	300	0	0	0.0258086717136958	41.4742379077264	0.00121547503949483	0.0646352056966976	0	0.0353217046477198	1.87829907754603	2	98	1
SPNCRNA.1317	0	1	4	100	294	300	0	0	0.00340136054421769	5.46594718185274	0.120791776113059	17.3080587281839	0	0.355127821772393	50.8856926608608	0	100	1
SPNCRNA.1318	0	22	1	100	1921	300	0	0	0.0114523685580427	18.4038242437395	0.00417368066078422	0.226956323474185	0	0.0801764054936649	4.35983097393909	1	99	1
SPNCRNA.1319	4	4	7	100	588	300	0.04	64.2795388585882	0.00680272108843537	10.9318943637055	0.211385029561017	4.73070397689326	5.88	1.24294397381878	27.8165393841324	0	104	1
SPNCRNA.132	1	4	5	100	1012	300	0.01	16.0698847146471	0.00395256916996047	6.3517330887933	0.0106420142837121	2.34682041637603	2.53	0.107697184551167	23.7498226137254	0	101	1
SPNCRNA.1320	3	34	4	100	1666	300	0.03	48.2096541439412	0.0204081632653061	32.7956830911164	0.0216350687008803	0.299112990062463	1.47	0.360440244556665	4.98322241444064	2	101	1
SPNCRNA.1321	1	27	0	100	1304	300	0.01	16.0698847146471	0.0207055214723926	33.2735343017999	0.00187061064467936	0.253746874604382	0.482962962962963	0.0243927628066188	3.30885924484115	2	99	1
SPNCRNA.1322	0	0	6	100	611	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.1323	0	2	0	100	1695	300	0	0	0.00117994100294985	1.89615158874892	0.0514242900386907	4.05388820080272	0	0.871641716155808	68.7134050036062	0	100	1
SPNCRNA.1324	0	52	1	100	3234	300	0	0	0.0160791589363018	25.8390230414857	0.00175540185204023	0.0937274199558428	0	0.056769695894981	3.03114476137196	1	99	1
SPNCRNA.1325	0	2	1	100	950	300	0	0	0.00210526315789474	3.38313362413622	0.0514242900386907	4.05388820080272	0	0.488530755367562	38.5119379076259	0	100	1
SPNCRNA.1326	0	0	0	100	264	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.1327	1	5	2	100	1127	300	0.01	16.0698847146471	0.00443655723158829	7.12949632415575	0.00883974757390515	1.74105855180368	2.254	0.099623955157911	19.6217298788275	0	101	1
SPNCRNA.1328	1	2	0	100	1018	300	0.01	16.0698847146471	0.00196463654223969	3.15714827399746	0.0179700152612445	6.97865092307548	5.09	0.182934755359469	71.0426663969084	0	101	1
SPNCRNA.1329	0	1	1	100	713	300	0	0	0.00140252454417952	2.25384077344278	0.120791776113059	17.3080587281839	0	0.86124536368611	123.406458731951	0	100	1
SPNCRNA.133	99	221	61	100	876	300	0.99	1590.91858675006	0.252283105022831	405.416041317009	0.350926640744585	0.571446565539409	3.9241628959276	3.07411737292257	5.00587191412522	40	159	2.78358140011417e-13
SPNCRNA.1331	1	1	2	100	2086	300	0.01	16.0698847146471	0.000479386385426654	0.770368394757769	0.027408528703162	36.4849938072245	20.86	0.571741908747959	761.076970818703	0	101	1
SPNCRNA.1332	0	17	19	100	1376	300	0	0	0.0123546511627907	19.8537819875727	0.00541762860743838	0.297388981119444	0	0.0745465696383521	4.09207238020354	1	99	1
