V4	Fisher_dis2_T316D_r1_pr_counts	Fisher_dis2_T316D_r1gb_counts	Fisher_dis2_T316D_r1term_counts	Fisher_dis2_T316D_r1pr_map	Fisher_dis2_T316D_r1gb_map	Fisher_dis2_T316D_r1term_map	Fisher_dis2_T316D_r1pr_density	Fisher_dis2_T316D_r1pr_densityRPKM	Fisher_dis2_T316D_r1gb_density	Fisher_dis2_T316D_r1gb_densityRPKM	Fisher_dis2_T316D_r1pause_index_CI_low	Fisher_dis2_T316D_r1pause_index_CI_high	Fisher_dis2_T316D_r1pause_index_scaled	Fisher_dis2_T316D_r1pause_index_CI_low_scaled	Fisher_dis2_T316D_r1pause_index_CI_high_scaled	Fisher_dis2_T316D_r1_ExpPR	Fisher_dis2_T316D_r1_ExpGB	Fisher_dis2_T316D_r1Fexact_Pval
SPNCRNA.405	4	16	20	100	260	300	0.04	14.229426739085	0.0615384615384615	21.8914257524384	0.0707856001160781	0.794321405375439	0.65	0.184042560301803	2.06523565397614	6	98	1
SPNCRNA.406	1	1	51	100	326	300	0.01	3.55735668477124	0.00306748466257669	1.09121370698504	0.027408528703162	36.4849938072245	3.26	0.0893518035723081	118.941079811552	0	101	1
SPNCRNA.410	0	0	0	100	170	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.411	0	24	18	100	1239	300	0	0	0.0193704600484262	6.8907635540363	0.0038226010111885	0.207313917589234	0	0.0473620265286256	2.56861943893061	1	99	1
SPNCRNA.412	3	2	22	100	294	300	0.03	10.6720700543137	0.00680272108843537	2.41997053385799	0.205434456268421	12.7771333780473	4.41	0.603977301429157	37.564772131459	0	103	1
SPNCRNA.413	36	3	92	100	115	300	0.36	128.064840651765	0.0260869565217391	9.28006091679454	3.55194544213189	48.8029327451753	13.8	4.08473725845167	56.1233726569515	3	133	0.000143280898033315
SPNCRNA.415	18	94	10	100	642	300	0.18	64.0324203258823	0.146417445482866	52.0859078455602	0.111795190784793	0.324169088488002	1.22936170212766	0.717725124838371	2.08116554809297	15	103	1
SPNCRNA.417	10	6	5	100	389	300	0.1	35.5735668477124	0.0154241645244216	5.48692547779626	0.559419828003067	5.14110917024434	6.48333333333333	2.17614313093193	19.9989146722505	1	109	1
SPNCRNA.419	1	87	29	100	1581	300	0.01	3.55735668477124	0.0550284629981025	19.5755870698987	0.000593821505306008	0.0759001878886543	0.181724137931034	0.00938831799888798	1.19998197051962	5	96	1
SPNCRNA.42	3	5	0	100	283	261	0.03	10.6720700543137	0.0176678445229682	6.28508248192799	0.114091922497598	2.86178388725642	1.698	0.322880140668203	8.09884840093566	1	102	1
SPNCRNA.421	0	2	0	100	934	300	0	0	0.00214132762312634	0.761746613441379	0.0514242900386907	4.05388820080272	0	0.480302868961372	37.8633157954974	0	100	1
SPNCRNA.424	36	20	41	100	221	300	0.36	128.064840651765	0.0904977375565611	32.1932731653506	1.01197239392593	3.22188401244219	3.978	2.23645899057631	7.12036366749723	11	125	0.0202494068198378
SPNCRNA.425	0	39	0	100	1324	300	0	0	0.0294561933534743	10.4786186333896	0.00234390037330292	0.125706278271577	0	0.0310332409425307	1.66435112431568	2	98	1
SPNCRNA.426	11	121	25	100	1186	300	0.11	39.1309235324836	0.102023608768971	36.2934366658786	0.046468004626795	0.173209606006499	1.07818181818182	0.551110534873788	2.05426592723708	10	101	1
SPNCRNA.427	3	32	62	100	347	300	0.03	10.6720700543137	0.0922190201729107	32.8055947875158	0.0229150017431142	0.319025295705829	0.3253125	0.0795150560486063	1.10701777609923	8	95	1
SPNCRNA.428	0	6	11	100	486	300	0	0	0.0123456790123457	4.39179837626079	0.0157393406208896	0.93492067967121	0	0.0764931954175233	4.54371450320208	1	99	1
SPNCRNA.43	0	0	5	100	419	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.431	2	9	7	100	438	300	0.02	7.11471336954248	0.0205479452054795	7.30963702350255	0.0332058119471448	1.09402338033518	0.973333333333333	0.145441456328494	4.7918224058681	2	100	1
SPNCRNA.432	1	10	2	100	1295	300	0.01	3.55735668477124	0.00772200772200772	2.74699357897393	0.00478667548335045	0.750794709134687	1.295	0.0619874475093883	9.7227914832942	0	101	1
SPNCRNA.435	0	2	0	100	228	300	0	0	0.0087719298245614	3.12048831997477	0.0514242900386907	4.05388820080272	0	0.117247381288215	9.24286509783021	0	100	1
SPNCRNA.436	5	50	13	100	1615	300	0.05	17.7867834238562	0.0309597523219814	11.0134881881463	0.03514736074431	0.261181710785662	1.615	0.567629876020606	4.21808462918844	3	102	1
SPNCRNA.437	6	20	118	100	332	300	0.06	21.3441401086274	0.0602409638554217	21.4298595468147	0.108046804638578	0.788397697192215	0.996	0.35871539140008	2.61748035467815	6	100	1
SPNCRNA.438	13	89	11	100	970	300	0.13	46.2456369020261	0.0917525773195876	32.6396644272825	0.0779251733724382	0.268424338076757	1.41685393258427	0.755874181712651	2.60371607934454	9	104	1
SPNCRNA.439	0	1	139	100	641	300	0	0	0.0015600624024961	0.554969841617978	0.120791776113059	17.3080587281839	0	0.774275284884708	110.944656447659	0	100	1
SPNCRNA.440	12	53	38	100	774	300	0.12	42.6882802172549	0.0684754521963824	24.3591607613535	0.114855102048474	0.437083626569839	1.75245283018868	0.888978489855192	3.38302726965055	7	105	1
SPNCRNA.441	7	1	40	100	186	300	0.07	24.9014967933987	0.00537634408602151	1.91255735740389	0.875430830113821	151.440954702963	13.02	1.62830134401171	281.680175747511	0	107	1
SPNCRNA.442	4	74	58	100	888	300	0.04	14.229426739085	0.0833333333333333	29.6446390397603	0.0168338161572729	0.153492645237905	0.48	0.149484287476584	1.3630146897126	8	96	1
SPNCRNA.443	2	20	62	100	241	300	0.02	7.11471336954248	0.0829875518672199	29.5216322387655	0.0161614422706158	0.441429443740588	0.241	0.038949075872184	1.06384495941482	7	95	1
SPNCRNA.444	4	52	35	100	551	287	0.04	14.229426739085	0.0943738656987296	33.5721502011079	0.023677930787996	0.221377727302635	0.423846153846154	0.130465398641858	1.21979127743752	8	96	1
SPNCRNA.445	63	459	671	100	429	300	0.63	224.113471140588	1.06993006993007	380.61228865035	0.104512266838074	0.179922390768599	0.588823529411765	0.448357624735335	0.771867056397291	84	79	1
SPNCRNA.446	0	0	1	100	421	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.448	0	0	0	0	36	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPNCRNA.45	0	3	9	100	602	300	0	0	0.00498338870431894	1.77276911201225	0.0327971598819604	2.22593021867193	0	0.197438902489402	13.400099916405	0	100	1
SPNCRNA.451	3	2	4	100	237	300	0.03	10.6720700543137	0.00843881856540084	3.00198876352003	0.205434456268421	12.7771333780473	3.555	0.486879661356157	30.281806105972	0	103	1
SPNCRNA.452	1	0	0	100	454	300	0.01	3.55735668477124	0	0	0.0577765545925511	8.27870929775896	NA	0.262305557850182	37.5853402118257	0	101	1
SPNCRNA.453	0	6	1	100	1338	300	0	0	0.00448430493273543	1.5952272129019	0.0157393406208896	0.93492067967121	0	0.210592377507503	12.5092386940008	0	100	1
SPNCRNA.454	10	58	30	100	1337	300	0.1	35.5735668477124	0.0433807030665669	15.4320634043928	0.082863601591789	0.348556392206323	2.3051724137931	1.10788635328222	4.66019896379854	4	106	1
SPNCRNA.456	1	0	13	100	2	300	0.01	3.55735668477124	0	0	0.0577765545925511	8.27870929775896	NA	0.00115553109185102	0.165574185955179	0	101	1
SPNCRNA.457	0	0	1	100	5	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.458	0	123	30	100	2568	300	0	0	0.0478971962616822	17.0387411303295	0.000740283529610935	0.0392253902243038	0	0.0190104810404088	1.00730802096012	4	96	1
SPNCRNA.46	0	0	12	100	241	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.462	0	0	10	100	43	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.466	7	68	13	100	890	300	0.07	24.9014967933987	0.0764044943820225	27.1798038836454	0.0433176968143683	0.232313875307708	0.916176470588235	0.385527501647878	2.06759349023861	7	100	1
SPNCRNA.467	3	1	1749	100	53	300	0.03	10.6720700543137	0.0188679245283019	6.7119937448514	0.281109371130232	74.8083338953006	1.59	0.148987966699023	39.6484169645093	1	102	1
SPNCRNA.469	0	20	26	100	1336	300	0	0	0.0149700598802395	5.32538425863958	0.00459577388787386	0.250708753220746	0	0.0613995391419948	3.34946894302917	1	99	1
SPNCRNA.471	2	4	1	100	366	30	0.02	7.11471336954248	0.0109289617486339	3.88782151341119	0.0638181358093923	3.14803144559117	1.83	0.233574377062376	11.5217950908637	1	101	1
SPNCRNA.472	0	3	0	100	1126	300	0	0	0.00266429840142096	0.947785972852018	0.0327971598819604	2.22593021867193	0	0.369296020270874	25.063974262246	0	100	1
SPNCRNA.473	3	1	0	100	105	300	0.03	10.6720700543137	0.00952380952380952	3.38795874740118	0.281109371130232	74.8083338953006	3.15	0.295164839686744	78.5487505900656	0	103	1
SPNCRNA.477	0	3	10	100	796	300	0	0	0.00376884422110553	1.34071231838112	0.0327971598819604	2.22593021867193	0	0.261065392660405	17.7184045406286	0	100	1
