V4	Fisher_dis2Del_r1_pr_counts	Fisher_dis2Del_r1gb_counts	Fisher_dis2Del_r1term_counts	Fisher_dis2Del_r1pr_map	Fisher_dis2Del_r1gb_map	Fisher_dis2Del_r1term_map	Fisher_dis2Del_r1pr_density	Fisher_dis2Del_r1pr_densityRPKM	Fisher_dis2Del_r1gb_density	Fisher_dis2Del_r1gb_densityRPKM	Fisher_dis2Del_r1pause_index_CI_low	Fisher_dis2Del_r1pause_index_CI_high	Fisher_dis2Del_r1pause_index_scaled	Fisher_dis2Del_r1pause_index_CI_low_scaled	Fisher_dis2Del_r1pause_index_CI_high_scaled	Fisher_dis2Del_r1_ExpPR	Fisher_dis2Del_r1_ExpGB	Fisher_dis2Del_r1Fexact_Pval
SPAC10F6.16	4	45	59	100	1061	300	0.04	25.4311534172477	0.0424128180961357	26.9651720965161	0.0271963397809832	0.257605273600223	0.943111111111111	0.288553165076232	2.73319195289837	4	100	1
SPAC10F6.17c	6	61	13	100	1801	300	0.06	38.1467301258715	0.033870072182121	21.5338750479193	0.0383475594601961	0.236355971349353	1.77147540983607	0.690639545878131	4.25677104400184	3	103	1
SPAC110.01	0	1578	142	100	5792	300	0	0	0.272444751381215	173.21460675249	5.76065270045428e-05	0.00303676048611677	0	0.00333657004410312	0.175889167355883	21	79	1
SPAC110.02	87	181	35	100	3853	300	0.87	553.127586825137	0.0469763820399689	29.8665894661421	0.369171925820374	0.625335216341134	18.5199447513812	14.224194301859	24.0941658856239	8	179	1.3035447510061e-54
SPAC110.03	18	378	64	100	1448	300	0.18	114.440190377614	0.261049723756906	165.9698893598	0.0287598886055858	0.0778306006021465	0.68952380952381	0.416443187008882	1.12698709671908	24	94	1
SPAC110.04c	28	921	131	100	2755	300	0.28	178.018073920734	0.334301270417423	212.541672389157	0.0204685515116979	0.0448530736500857	0.83756786102063	0.563908594147277	1.23570217905986	32	96	1
SPAC110.05	1	34	24	100	1707	300	0.01	6.35778835431192	0.0199179847685999	12.6634331603166	0.0014954740609025	0.199297297707355	0.502058823529412	0.0255277422196056	3.40200487186456	1	100	1
SPAC1142.01	87	144	11	100	1904	300	0.87	553.127586825137	0.0756302521008403	48.0841136040397	0.458956005491993	0.794827165421332	11.5033333333333	8.73852234456754	15.1335092296222	13	174	3.09751879705626e-38
SPAC1142.02c	53	118	63	100	1080	300	0.53	336.962782778532	0.109259259259259	69.4647246119265	0.320577884435891	0.62820477925672	4.85084745762712	3.46224115190763	6.78461161597258	15	138	1.77974673353184e-10
SPAC1142.03c	1	98	86	100	2243	300	0.01	6.35778835431192	0.0436914846188141	27.7781212092094	0.000527778249978962	0.0672557567881182	0.228877551020408	0.0118380661470281	1.50854662475749	4	97	1
SPAC1142.04	2	160	67	100	2169	300	0.02	12.7155767086238	0.0737667127708622	46.8993147390459	0.00214584319226133	0.0509919502943866	0.271125	0.0465433388401481	1.10601540188525	7	95	1
SPAC1142.05	5	74	48	100	969	300	0.05	31.7889417715596	0.0763673890608875	48.5527696820518	0.0241011851621313	0.173575785233404	0.65472972972973	0.233540484221052	1.68194935891169	7	98	1
SPAC1142.06	11	159	21	100	1508	300	0.11	69.9356718974311	0.105437665782493	67.0350363617768	0.0356005688500092	0.130884615320385	1.04327044025157	0.536856578258139	1.97373999903141	10	101	1
SPAC1142.07c	1	26	15	100	1016	300	0.01	6.35778835431192	0.0255905511811024	16.2699308279636	0.00194013628088687	0.264049615251165	0.390769230769231	0.0197117846138106	2.68274409095184	2	99	1
SPAC1142.08	1	116	18	100	2324	300	0.01	6.35778835431192	0.0499139414802065	31.7342275860664	0.000446515916017513	0.0566901874916292	0.200344827586207	0.010377029888247	1.31747995730546	4	97	1
SPAC1142.09	10	0	38	100	3	300	0.1	63.5778835431191	0	0	1.90244405209418	107.558248888178	NA	0.0570733215628253	3.22674746664533	0	110	1
SPAC11D3.01c	30	20	49	100	130	300	0.3	190.733650629357	0.153846153846154	97.8121285278756	0.824978790237761	2.7407046022882	1.95	1.07247242730909	3.56291598297466	17	113	1
