V4	dis2ts_DMSO_30Cr1_pr_counts	dis2ts_DMSO_30Cr1gb_counts	dis2ts_DMSO_30Cr1term_counts	dis2ts_DMSO_30Cr1pr_map	dis2ts_DMSO_30Cr1gb_map	dis2ts_DMSO_30Cr1term_map	dis2ts_DMSO_30Cr1pr_density	dis2ts_DMSO_30Cr1pr_densityRPKM	dis2ts_DMSO_30Cr1gb_density	dis2ts_DMSO_30Cr1gb_densityRPKM	dis2ts_DMSO_30Cr1pause_index_CI_low	dis2ts_DMSO_30Cr1pause_index_CI_high	dis2ts_DMSO_30Cr1pause_index_scaled	dis2ts_DMSO_30Cr1pause_index_CI_low_scaled	dis2ts_DMSO_30Cr1pause_index_CI_high_scaled	dis2ts_DMSO_30Cr1_ExpPR	dis2ts_DMSO_30Cr1_ExpGB	dis2ts_DMSO_30Cr1Fexact_Pval
SPAC1071.03c	8	171	27	100	1677	300	0.08	38.156852326781	0.101967799642218	48.6346284129364	0.021376543991459	0.0979996162373111	0.784561403508772	0.358484642736768	1.64345356429971	9	99	1
SPAC1071.04c	6	7	13	100	331	300	0.06	28.6176392450858	0.0211480362537764	10.0867812042095	0.256309057675785	2.82843491229156	2.83714285714286	0.848382980906847	9.36211955968507	2	104	1
SPAC1071.05	3	118	24	100	1458	300	0.03	14.3088196225429	0.0809327846364883	38.6017538971207	0.00646655499827671	0.0824846781060368	0.370677966101695	0.0942823718748744	1.20262660678602	7	96	1
SPAC1071.06	47	155	36	100	1678	300	0.47	224.171507419838	0.0923718712753278	44.0577481425138	0.215814268324686	0.424981974780329	5.08812903225807	3.62136342248824	7.13119753681391	12	135	1.43164240165109e-10
SPAC1071.07c	121	82	130	100	468	300	1.21	577.122391442563	0.175213675213675	83.5700291345097	1.10482070818066	1.9719547263276	6.90585365853658	5.17056091428551	9.22874811921315	32	189	2.75563423491695e-24
SPAC1071.08	20	68	80	100	320	300	0.2	95.3921308169525	0.2125	101.354138993012	0.173023436537428	0.495427329898247	0.941176470588235	0.553674996919771	1.58536745567439	21	99	1
SPAC1071.09c	296	161	157	100	2232	300	2.96	1411.8035360909	0.0721326164874552	34.404419940702	1.51083085772076	2.23787744073357	41.0355279503106	33.7217447443275	49.9494244771732	26	370	7.50233093288617e-185
SPAC1071.10c	104	7586	660	100	4273	300	1.04	496.039080248153	1.77533348935174	846.764222299791	0.0112406916950862	0.0167048003152777	0.585805431057211	0.480314756131032	0.713796117471816	130	74	1
SPAC1071.11	23	348	90	100	2136	300	0.23	109.700950439495	0.162921348314607	77.7070728565063	0.0422865944850468	0.102387879800935	1.41172413793103	0.9032416582006	2.18700511254798	17	106	1
SPAC1071.12c	3	13	10	100	736	300	0.03	14.3088196225429	0.0176630434782609	8.4245767705189	0.0523338859955796	0.862462925029247	1.69846153846154	0.385177400927466	6.34772712821526	1	102	1
