V4	Mcs6as_Cdk9as_DMSOr1_pr_counts	Mcs6as_Cdk9as_DMSOr1gb_counts	Mcs6as_Cdk9as_DMSOr1term_counts	Mcs6as_Cdk9as_DMSOr1pr_map	Mcs6as_Cdk9as_DMSOr1gb_map	Mcs6as_Cdk9as_DMSOr1term_map	Mcs6as_Cdk9as_DMSOr1pr_density	Mcs6as_Cdk9as_DMSOr1pr_densityRPKM	Mcs6as_Cdk9as_DMSOr1gb_density	Mcs6as_Cdk9as_DMSOr1gb_densityRPKM	Mcs6as_Cdk9as_DMSOr1pause_index_CI_low	Mcs6as_Cdk9as_DMSOr1pause_index_CI_high	Mcs6as_Cdk9as_DMSOr1pause_index_scaled	Mcs6as_Cdk9as_DMSOr1pause_index_CI_low_scaled	Mcs6as_Cdk9as_DMSOr1pause_index_CI_high_scaled	Mcs6as_Cdk9as_DMSOr1_ExpPR	Mcs6as_Cdk9as_DMSOr1_ExpGB	Mcs6as_Cdk9as_DMSOr1Fexact_Pval
SPAC1142.01	198	397	13	100	1904	300	1.98	344.314113244216	0.208508403361345	36.2587808117822	0.419001966071786	0.593523368340937	9.4960201511335	7.97779743400681	11.3006849332114	51	247	3.38018121857378e-63
SPAC1142.02c	130	637	58	100	1080	300	1.3	226.064821827011	0.589814814814815	102.566446940033	0.1682153157384	0.247449441812155	2.20408163265306	1.81672540997472	2.67245397157127	85	145	0.000110618680986686
SPAC1142.03c	3	456	345	100	2243	300	0.03	5.21688050370025	0.203299152920196	35.3529129096049	0.00169236647397609	0.0210629139665876	0.147565789473684	0.0379597800112838	0.472441160270559	17	86	1
SPAC1142.04	53	992	121	100	2169	300	0.53	92.1648888987044	0.457353619179345	79.5319726397825	0.0401114547501593	0.0709838960024565	1.15884072580645	0.870017453530955	1.53964070429328	48	105	1
SPAC1142.05	95	334	120	100	969	300	0.95	165.201215950508	0.34468524251806	59.9393907201886	0.224950741068901	0.359323337826479	2.7561377245509	2.17977268095765	3.48184314353858	49	146	9.15845674237593e-07
SPAC1142.06	33	712	73	100	1508	300	0.33	57.3856855407027	0.472148541114058	82.1047506329482	0.0321511121754758	0.0664683057551085	0.698932584269663	0.484838771606175	1.00234205078704	42	91	1
SPAC1142.07c	36	283	60	100	1016	300	0.36	62.602566044403	0.278543307086614	48.4375716058783	0.0884892213950087	0.182079106834197	1.29243816254417	0.899050489373288	1.84992372543544	29	107	1
SPAC1142.08	40	643	121	100	2324	300	0.4	69.5584067160033	0.276678141135972	48.1132266764093	0.0445770206790227	0.086479580011534	1.4457231726283	1.03596996058049	2.00978543946805	30	110	1
SPAC1142.09	11	0	64	100	3	300	0.11	19.1285618469009	0	0	2.11092388815756	118.56240268776	NA	0.0633277166447267	3.55687208063281	0	111	1
SPAC11D3.01c	108	32	27	100	130	300	1.08	187.807698133209	0.246153846153846	42.8051733636943	2.23978826552116	5.10841044029885	4.3875	2.91172474517751	6.6409335723885	41	167	7.34793556423542e-07
SPAC11D3.02c	50	272	176	100	450	300	0.5	86.9480083950041	0.604444444444444	105.110481259738	0.13434494503743	0.250889098504762	0.827205882352941	0.604552252668434	1.12900094327143	56	94	1
SPAC11D3.03c	19	43	42	100	1284	300	0.19	33.0402431901016	0.0334890965732087	5.82362049997691	0.248449950245876	0.779403311219614	5.67348837209302	3.19009736115705	10.0075385160598	3	116	0.000861912100809826
SPAC11D3.04c	1	240	31	100	1836	300	0.01	1.73896016790008	0.130718954248366	22.7315054627462	0.000216683114160015	0.0272252603134038	0.0765	0.00397830197597788	0.499855779354094	11	90	1
SPAC11D3.05	107	1802	53	100	1753	300	1.07	186.068737965309	1.02795208214489	178.756772535992	0.0486099793253911	0.0724690503253523	1.04090455049945	0.852132937574106	1.27038245220343	104	103	1
SPAC11D3.06	6	331	17	100	1521	300	0.06	10.4337610074005	0.217619986850756	37.8432488872404	0.0073108936375456	0.0419700774017786	0.27570996978852	0.111198692227069	0.638364877281053	18	88	1
SPAC11D3.07c	63	894	14	100	4030	300	0.63	109.554490577705	0.221836228287841	38.5764364789745	0.0541047189960676	0.0916076443962748	2.83993288590604	2.18042017554152	3.69178806916987	29	134	9.61607353813285e-06
SPAC11D3.08c	7	478	155	100	3214	300	0.07	12.1727211753006	0.148724331051649	25.8625687696403	0.00637929390331909	0.0318356107746599	0.470669456066946	0.205030506052676	1.02319653029757	13	94	1
SPAC11D3.09	1	60	23	100	1729	300	0.01	1.73896016790008	0.0347021399652979	6.03456391405465	0.000857068701558265	0.11087817119528	0.288166666666667	0.0148187178499424	1.91708357996638	3	98	1
SPAC11D3.10	3	208	0	100	4126	300	0.03	5.21688050370025	0.0504120213281629	8.76644970730046	0.00369272571555996	0.0464328920529186	0.595096153846154	0.152361863024004	1.91582112610342	4	99	1
SPAC11D3.11c	8	292	27	100	2151	300	0.08	13.9116813432007	0.135750813575081	23.6065257567096	0.0126087775414886	0.0569517751023124	0.589315068493151	0.271214804917421	1.22503268245074	12	96	1
SPAC11D3.13	5	147	101	100	920	300	0.05	8.69480083950041	0.159782608695652	27.7855592044904	0.0123227241182982	0.0858793106888921	0.312925170068027	0.113369061888343	0.790089658337807	14	91	1
SPAC11D3.14c	15	968	6	100	4308	300	0.15	26.0844025185012	0.224698235840297	39.0741281923695	0.00896426174705437	0.0263261324305786	0.667561983471074	0.386180396063102	1.13412978510932	21	94	1
SPAC11D3.15	76	546	10	100	3921	300	0.76	132.160972760406	0.139250191277735	24.2150536004449	0.108666841192	0.178049363805709	5.4578021978022	4.26082684313832	6.98131555482183	21	155	1.60374793106127e-19
SPAC11D3.16c	49	555	96	100	945	300	0.49	85.209048227104	0.587301587301587	102.129406686195	0.0651720202040204	0.119270296448072	0.834324324324324	0.615875590927993	1.12710430143428	55	94	1
SPAC11D3.17	7	567	28	100	3291	300	0.07	12.1727211753006	0.17228805834093	29.9602070859722	0.00538292485873108	0.0268119537478709	0.406296296296296	0.17715205710084	0.882381397842431	15	92	1
SPAC11D3.18c	14	297	15	100	2031	300	0.14	24.3454423506012	0.146233382570162	25.4294027506807	0.0264741952115721	0.0823586626205359	0.957373737373737	0.537690904747029	1.67270443782308	14	100	1
SPAC11D3.19	51	101	2	100	1210	300	0.51	88.6869685629042	0.0834710743801653	14.5152873518932	0.355575678843687	0.715870672803396	6.10990099009901	4.30246571400861	8.6620351409211	11	140	2.72043754133851e-13
SPAC11E3.01c	15	828	43	100	3812	300	0.15	26.0844025185012	0.217208814270724	37.7717476133596	0.01047249435171	0.0308000755748608	0.690579710144927	0.399211484687184	1.1740988809137	20	95	1
SPAC11E3.02c	25	974	51	100	3850	300	0.25	43.4740041975021	0.252987012987013	43.9934338580436	0.0168815672662583	0.0387150178600842	0.988193018480493	0.649940339750945	1.49052818761324	25	100	1
SPAC11E3.03	5	77	24	100	987	300	0.05	8.69480083950041	0.0780141843971631	13.5663559197879	0.0231902063366767	0.166587851296784	0.640909090909091	0.228887336542999	1.64422209229926	7	98	1
SPAC11E3.04c	45	197	38	100	714	300	0.45	78.2532075555037	0.275910364145658	47.9797133160107	0.162990394772106	0.319219525861251	1.63096446700508	1.16375141867283	2.27922741464933	31	114	1
SPAC11E3.05	9	571	34	100	3997	300	0.09	15.6506415111007	0.142857142857143	24.8422881128583	0.00764942959048128	0.0312868874812326	0.63	0.305747700731537	1.25053689262487	13	96	1
SPAC11E3.06	17	86	72	100	1847	300	0.17	29.5623228543014	0.0465619924201408	8.09694501566903	0.113335080327439	0.340418063145524	3.65104651162791	2.0932989336478	6.28752162629782	5	112	0.274226886143369
SPAC11E3.07	362	647	136	100	1208	300	3.62	629.50358077983	0.535596026490066	93.1380156151782	0.490931499093625	0.637607167903107	6.75882534775889	5.93045250905099	7.70229458826954	161	301	2.09214682584719e-61
SPAC11E3.08c	35	198	17	100	1531	300	0.35	60.8636058765029	0.129327237099935	22.4894913941356	0.121309195817204	0.25645976570873	2.70631313131313	1.8572437879614	3.92639901300065	15	120	0.0491119885468464
