V4	Isk1as_DMSOr2_pr_counts	Isk1as_DMSOr2gb_counts	Isk1as_DMSOr2term_counts	Isk1as_DMSOr2pr_map	Isk1as_DMSOr2gb_map	Isk1as_DMSOr2term_map	Isk1as_DMSOr2pr_density	Isk1as_DMSOr2pr_densityRPKM	Isk1as_DMSOr2gb_density	Isk1as_DMSOr2gb_densityRPKM	Isk1as_DMSOr2pause_index_CI_low	Isk1as_DMSOr2pause_index_CI_high	Isk1as_DMSOr2pause_index_scaled	Isk1as_DMSOr2pause_index_CI_low_scaled	Isk1as_DMSOr2pause_index_CI_high_scaled	Isk1as_DMSOr2_ExpPR	Isk1as_DMSOr2_ExpGB	Isk1as_DMSOr2Fexact_Pval
SPAC10F6.10	45	451	59	100	1670	300	0.45	54.2835708601449	0.270059880239521	32.5773658788095	0.0725244129569266	0.136841824956175	1.66629711751663	1.21115769638067	2.28525847676812	30	115	1
SPAC10F6.11c	29	581	39	100	2545	300	0.29	34.9827456654267	0.228290766208251	27.5387510759609	0.0337238419503398	0.0734123804753662	1.27030981067126	0.858271777636147	1.86834508309807	23	106	1
SPAC10F6.12c	69	214	32	100	987	300	0.69	83.2348086522222	0.216818642350557	26.1548669685264	0.243496485286474	0.426367550840558	3.18238317757009	2.4033103097775	4.20824772679631	30	139	6.58883764996766e-07
SPAC10F6.13c	735	1100	222	100	1199	300	7.35	886.631657382366	0.917431192660551	110.669869235769	0.607939083843067	0.734378558306269	8.0115	7.28918961527837	8.80519891409216	399	436	1.48339483205906e-97
SPAC10F6.14c	60	567	737	100	1579	300	0.6	72.3780944801932	0.359088030398987	43.3168456515406	0.080334478833333	0.139107640255442	1.67089947089947	1.26848142077833	2.19650963963343	42	118	1
SPAC10F6.15	6	37	1	100	1234	300	0.06	7.23780944801932	0.0299837925445705	3.61694961610906	0.0616020865815421	0.401083102867307	2.00108108108108	0.76016974841623	4.94936548938257	3	103	1
SPAC10F6.16	104	655	262	100	1061	300	1.04	125.455363765668	0.617342130065975	74.4700783608648	0.128379631029297	0.19620800031959	1.68464122137405	1.36210788522084	2.08176688339085	77	127	1
SPAC10F6.17c	66	336	33	100	1801	300	0.66	79.6159039282125	0.186563020544142	22.5051265457569	0.14949719718705	0.257668062690634	3.53767857142857	2.69244452133877	4.64060180905832	26	140	7.67052232077631e-09
SPAC110.01	8	6217	393	100	5792	300	0.08	9.65041259735909	1.0733770718232	129.481645195488	0.00059804242768	0.00264719599502851	0.0745311243364967	0.0346386174112256	0.153325592032051	55	53	1
SPAC110.02	148	1016	1058	100	3853	300	1.48	178.532633051143	0.263690630677394	31.8090423011836	0.122117493040103	0.173675247107243	5.61263779527559	4.70518700683519	6.69170727104208	51	197	5.14090682599775e-34
SPAC110.03	492	1752	306	100	1448	300	4.92	593.500374737584	1.20994475138122	145.955825885472	0.253768239096939	0.310736750680973	4.06630136986301	3.67456410212367	4.49946814986048	324	268	6.13188430237365e-38
SPAC110.04c	416	4967	428	100	2755	300	4.16	501.821455062673	1.80290381125227	217.484570649195	0.0756800182745937	0.0926763037500491	2.30738876585464	2.08498450346506	2.55323216831385	331	185	1.73422574526452e-11
SPAC110.05	16	315	123	100	1707	300	0.16	19.3008251947182	0.184534270650264	22.2603981265972	0.0296627418647575	0.085645565790374	0.867047619047619	0.506343003631411	1.46196980804168	18	98	1
SPAC1142.01	291	496	26	100	1904	300	2.91	351.033758228937	0.260504201680672	31.4246628695517	0.506297000710968	0.679785521041444	11.1706451612903	9.63989489353684	12.9431163206291	80	311	1.70829224732344e-91
SPAC1142.02c	341	820	142	100	1080	300	3.41	411.348836962431	0.759259259259259	91.5895640027136	0.365765702740386	0.472748778676435	4.49121951219512	3.95026958959617	5.1056868097055	190	251	4.9020143164078e-36
SPAC1142.03c	12	462	529	100	2243	300	0.12	14.4756188960386	0.205974141774409	24.8466931563748	0.0139627454429743	0.0471664413828413	0.582597402597403	0.313184380285913	1.05794328021713	19	93	1
SPAC1142.04	65	766	190	100	2169	300	0.65	78.4096023535426	0.353158137390503	42.6015217241647	0.0653109587166482	0.110049882592728	1.84053524804178	1.4165946945641	2.38698195343627	43	122	1
SPAC1142.05	150	474	156	100	969	300	1.5	180.945236200483	0.489164086687306	59.0079408042855	0.262230560085908	0.381730848371975	3.06645569620253	2.54101412723245	3.69897192072443	82	168	4.23298680338729e-12
SPAC1142.06	52	871	133	100	1508	300	0.52	62.7276818828341	0.577586206896552	69.6743150886917	0.0446551714088847	0.0796105268019122	0.900298507462687	0.673399984845981	1.20052674417284	55	97	1
SPAC1142.07c	30	232	92	100	1016	300	0.3	36.1890472400966	0.228346456692913	27.545469027895	0.0867032448526543	0.191759871801957	1.31379310344828	0.880904967702967	1.94828029750789	24	106	1
SPAC1142.08	108	619	123	100	2324	300	1.08	130.280570064348	0.266351118760757	32.1299773976187	0.141444612679392	0.215046946628498	4.05479806138934	3.28717279866906	4.9976910396463	43	165	3.55737244580285e-17
SPAC1142.09	25	1	75	100	3	300	0.25	30.1575393667472	0.333333333333333	40.2100524889962	3.63341414753314	496.270625361134	0.75	0.109002424425994	14.888118760834	31	94	1
SPAC11D3.01c	80	34	62	100	130	300	0.8	96.5041259735909	0.261538461538462	31.5494257990586	1.54933533815693	3.58590419216646	3.05882352941176	2.01413593960401	4.6616754498164	37	143	0.0139565334338075
